id_hogar,ingreso_mensual,edad_jefe,escolaridad_anios,tamano_hogar,urbano,tiene_credito_hipotecario,gasto_vivienda,entidad
1,14582.0,39.0,15.0,2,1,1,4412.0,La Paz
2,12660.0,20.0,14.0,3,1,0,2609.0,La Paz
3,8205.0,20.0,9.0,2,0,1,2921.0,Hermosillo
4,12285.0,59.0,13.0,5,1,1,2977.0,Zacatecas
5,17886.0,37.0,9.0,4,1,0,3987.0,San Luis Potosí
6,22022.0,38.0,18.0,2,1,1,4496.0,Zacatecas
7,10779.0,41.0,9.0,3,0,1,3065.0,Zacatecas
8,6009.0,47.0,17.0,6,1,0,1734.0,Campeche
9,21657.0,44.0,14.0,4,1,1,4866.0,Tepic
10,5379.0,28.0,9.0,3,1,0,1185.0,Morelia
11,2871.0,20.0,14.0,2,1,0,687.0,Toluca
12,37275.0,52.0,10.0,4,1,0,9599.0,Chilpancingo
13,14902.0,43.0,18.0,2,1,1,4935.0,San Luis Potosí
14,27652.0,44.0,3.0,4,1,1,7768.0,Guadalajara
15,20171.0,38.0,10.0,3,1,1,4707.0,Colima
16,12280.0,41.0,12.0,2,1,1,3293.0,Guadalajara
17,4606.0,38.0,6.0,2,0,0,1135.0,Chilpancingo
18,15615.0,32.0,4.0,6,1,0,3563.0,Tuxtla Gutiérrez
19,13096.0,46.0,7.0,5,1,0,3217.0,Aguascalientes
20,11240.0,34.0,9.0,2,1,1,1454.0,Pachuca
21,15593.0,33.0,14.0,4,1,1,2859.0,Ciudad de México
22,8761.0,35.0,16.0,1,1,1,2285.0,Hermosillo
23,10010.0,50.0,11.0,8,1,0,2631.0,Veracruz
24,4320.0,53.0,12.0,3,1,0,1422.0,Cuernavaca
25,17345.0,30.0,7.0,3,0,0,4324.0,Chilpancingo
26,12721.0,23.0,10.0,4,1,1,3719.0,Oaxaca
27,27690.0,46.0,17.0,2,1,0,8013.0,Toluca
28,17154.0,48.0,7.0,6,0,0,3601.0,La Paz
29,11822.0,31.0,7.0,5,1,0,3103.0,Campeche
30,4589.0,40.0,14.0,2,1,0,687.0,Oaxaca
31,2864.0,32.0,13.0,3,1,0,447.0,Puebla
32,20177.0,47.0,4.0,3,0,0,7804.0,Cuernavaca
33,18157.0,26.0,18.0,1,0,1,4820.0,Saltillo
34,6221.0,23.0,9.0,3,0,0,1844.0,Zacatecas
35,18260.0,57.0,11.0,4,0,1,3351.0,Oaxaca
36,5555.0,20.0,9.0,3,1,1,1222.0,Cancún
37,10588.0,46.0,11.0,4,0,0,3066.0,Pachuca
38,25604.0,54.0,4.0,2,1,1,4708.0,Colima
39,37540.0,55.0,9.0,6,0,1,8869.0,Tepic
40,7139.0,36.0,9.0,1,1,0,1512.0,Pachuca
41,11012.0,48.0,17.0,2,1,1,3618.0,Chihuahua
42,10065.0,41.0,10.0,4,1,0,3726.0,La Paz
43,17271.0,29.0,11.0,1,1,0,2124.0,Tuxtla Gutiérrez
44,33786.0,38.0,14.0,8,1,1,8757.0,Morelia
45,6737.0,42.0,10.0,2,0,0,1273.0,Tuxtla Gutiérrez
46,4434.0,49.0,7.0,3,1,0,994.0,León
47,24303.0,46.0,14.0,5,1,0,2632.0,Chilpancingo
48,8925.0,49.0,9.0,6,1,0,2465.0,Cancún
49,6253.0,50.0,10.0,3,1,1,1202.0,Aguascalientes
50,3979.0,35.0,12.0,6,1,1,1191.0,Aguascalientes
51,33890.0,45.0,10.0,4,0,1,9832.0,Mérida
52,14638.0,46.0,11.0,2,1,1,4988.0,Villahermosa
53,14871.0,62.0,10.0,1,1,1,2001.0,Chihuahua
54,34708.0,29.0,17.0,1,1,0,9975.0,Ciudad de México
55,21351.0,38.0,15.0,6,1,1,6905.0,Ciudad de México
56,17405.0,20.0,10.0,1,1,1,4517.0,La Paz
57,3650.0,20.0,12.0,3,1,0,1279.0,Reynosa
58,9265.0,52.0,11.0,5,1,1,3350.0,Mérida
59,5587.0,40.0,8.0,5,1,1,880.0,Culiacán
60,9843.0,41.0,6.0,10,1,0,3096.0,Zacatecas
61,6203.0,28.0,0.0,2,0,0,1717.0,Guadalajara
62,29994.0,29.0,8.0,4,0,1,7214.0,Chihuahua
63,3955.0,27.0,13.0,3,1,1,437.0,Villahermosa
64,26380.0,30.0,13.0,5,0,0,6017.0,Mérida
65,10379.0,38.0,12.0,1,1,0,2708.0,Saltillo
66,6996.0,42.0,10.0,2,1,0,2143.0,La Paz
67,28593.0,38.0,7.0,5,1,0,3400.0,Morelia
68,18525.0,45.0,14.0,3,1,0,3871.0,Culiacán
69,7743.0,46.0,12.0,5,1,1,2517.0,Reynosa
70,10781.0,53.0,13.0,1,1,0,1764.0,León
71,22661.0,58.0,10.0,1,1,1,3333.0,Cancún
72,23037.0,40.0,8.0,7,1,1,7184.0,Hermosillo
73,24951.0,50.0,10.0,5,1,0,4234.0,Pachuca
74,6918.0,38.0,6.0,2,0,0,2116.0,Tepic
75,9793.0,23.0,9.0,3,0,1,2125.0,Veracruz
76,25786.0,29.0,11.0,4,0,1,5942.0,Hermosillo
77,14717.0,44.0,10.0,4,0,1,2361.0,Morelia
78,5820.0,50.0,14.0,2,1,1,952.0,Saltillo
79,14843.0,23.0,17.0,2,0,1,3023.0,Chilpancingo
80,25870.0,43.0,7.0,2,1,0,1804.0,Villahermosa
81,3555.0,49.0,9.0,3,1,0,1028.0,Chihuahua
82,17821.0,51.0,11.0,2,0,1,3230.0,Villahermosa
83,11722.0,54.0,9.0,1,1,0,3761.0,Toluca
84,13006.0,69.0,12.0,6,1,0,3068.0,Campeche
85,4776.0,45.0,11.0,1,1,0,1450.0,La Paz
86,10458.0,25.0,11.0,4,0,0,3028.0,Tuxtla Gutiérrez
87,12391.0,33.0,11.0,3,1,1,2941.0,Ciudad de México
88,12085.0,45.0,15.0,4,1,0,1720.0,Hermosillo
89,20892.0,45.0,16.0,3,0,0,5936.0,Monterrey
90,21879.0,26.0,11.0,4,1,1,6557.0,Cancún
91,5305.0,24.0,13.0,1,1,0,1223.0,Monterrey
92,12201.0,43.0,7.0,3,1,1,5084.0,Toluca
93,21360.0,48.0,10.0,5,1,0,7021.0,Tepic
94,26811.0,44.0,11.0,1,1,1,5511.0,Cancún
95,23314.0,24.0,13.0,5,0,0,8039.0,Ciudad de México
96,4538.0,54.0,12.0,3,1,0,1165.0,Chihuahua
97,38715.0,48.0,13.0,3,1,0,6219.0,Chilpancingo
98,8672.0,50.0,7.0,2,1,0,2793.0,Campeche
99,15586.0,46.0,10.0,4,1,0,623.0,Querétaro
100,36023.0,51.0,14.0,3,1,0,10907.0,Saltillo
101,9551.0,38.0,5.0,1,1,0,2020.0,Colima
102,8075.0,25.0,10.0,4,1,0,2125.0,San Luis Potosí
103,3906.0,45.0,19.0,5,1,1,850.0,Ciudad de México
104,8674.0,26.0,13.0,1,1,0,3383.0,Querétaro
105,18208.0,43.0,8.0,5,1,1,5111.0,Puebla
106,11568.0,47.0,5.0,5,1,1,2641.0,Puebla
107,18892.0,34.0,14.0,3,0,0,4757.0,Pachuca
108,3659.0,44.0,17.0,2,1,0,671.0,Cancún
109,15604.0,34.0,9.0,5,0,0,4337.0,Hermosillo
110,23098.0,39.0,11.0,1,1,1,6450.0,Colima
111,10736.0,41.0,9.0,1,1,1,1704.0,Monterrey
112,17629.0,20.0,9.0,3,1,0,3471.0,Zacatecas
113,3359.0,27.0,11.0,3,0,0,607.0,Aguascalientes
114,17091.0,33.0,13.0,6,1,1,1529.0,Mérida
115,8059.0,20.0,15.0,8,1,0,2966.0,Hermosillo
116,10854.0,29.0,15.0,11,1,0,3092.0,Hermosillo
117,4439.0,45.0,13.0,3,1,1,828.0,Mérida
118,14763.0,43.0,14.0,4,1,1,3230.0,Tuxtla Gutiérrez
119,23736.0,60.0,7.0,11,1,0,5374.0,Tepic
120,4028.0,61.0,10.0,2,1,1,954.0,Reynosa
121,5074.0,28.0,9.0,5,1,0,1318.0,Ciudad de México
122,6115.0,45.0,13.0,4,1,0,963.0,Tepic
123,11564.0,41.0,16.0,5,0,0,3540.0,Cancún
124,11113.0,36.0,6.0,4,1,1,3434.0,Chihuahua
125,8841.0,33.0,8.0,3,0,0,1460.0,Morelia
126,10023.0,50.0,9.0,1,1,0,2318.0,Ciudad de México
127,12265.0,32.0,12.0,2,1,0,3022.0,Saltillo
128,5105.0,43.0,11.0,6,1,1,1013.0,Puebla
129,9509.0,34.0,9.0,1,1,1,2952.0,Tlaxcala
130,10261.0,52.0,6.0,2,1,0,2293.0,Pachuca
131,12032.0,51.0,6.0,5,0,0,3518.0,Campeche
132,6809.0,39.0,11.0,2,1,1,1844.0,Morelia
133,9116.0,38.0,8.0,6,0,0,1670.0,Tijuana
134,9115.0,21.0,10.0,3,1,1,2294.0,Tlaxcala
135,15222.0,34.0,9.0,1,1,0,3258.0,Zacatecas
136,17163.0,39.0,10.0,4,0,0,3003.0,Ciudad de México
137,15511.0,35.0,15.0,5,1,1,5067.0,San Luis Potosí
138,20054.0,30.0,11.0,5,1,0,7277.0,La Paz
139,8021.0,44.0,13.0,7,1,0,2410.0,Aguascalientes
140,11318.0,29.0,9.0,5,0,0,2020.0,Durango
141,10243.0,22.0,11.0,1,1,1,3272.0,Veracruz
142,8943.0,37.0,11.0,2,1,0,2064.0,Campeche
143,18387.0,34.0,5.0,4,1,0,3632.0,Cancún
144,8119.0,41.0,10.0,8,1,1,1590.0,Toluca
145,14208.0,27.0,13.0,7,1,0,4071.0,Colima
146,2118.0,39.0,12.0,3,1,0,388.0,Cuernavaca
147,15321.0,62.0,5.0,5,1,0,3062.0,Mérida
148,10803.0,43.0,13.0,5,1,0,3347.0,La Paz
149,7559.0,45.0,11.0,4,1,1,1675.0,Toluca
150,6106.0,40.0,14.0,1,1,1,2785.0,Tuxtla Gutiérrez
151,10645.0,25.0,6.0,3,0,0,1017.0,Aguascalientes
152,8453.0,28.0,6.0,5,1,0,2622.0,Morelia
153,9829.0,64.0,7.0,7,0,0,820.0,Chihuahua
154,19043.0,67.0,14.0,4,1,1,5146.0,Durango
155,23345.0,27.0,7.0,2,1,0,4387.0,Puebla
156,2503.0,40.0,6.0,5,1,0,452.0,Tuxtla Gutiérrez
157,9550.0,36.0,16.0,4,1,1,2620.0,Reynosa
158,7406.0,21.0,17.0,3,1,0,1131.0,Tepic
159,5169.0,67.0,9.0,3,1,1,942.0,Reynosa
160,10618.0,51.0,11.0,5,1,0,2016.0,Zacatecas
161,7316.0,41.0,8.0,2,1,0,1725.0,Tijuana
162,32785.0,31.0,14.0,1,1,1,11530.0,León
163,3405.0,26.0,17.0,3,1,0,510.0,Culiacán
164,8389.0,33.0,18.0,2,0,1,2197.0,Tuxtla Gutiérrez
165,26339.0,60.0,12.0,2,1,1,5769.0,Villahermosa
166,10939.0,20.0,10.0,3,0,0,2330.0,Cancún
167,3682.0,34.0,12.0,3,1,1,725.0,Tijuana
168,6731.0,40.0,16.0,4,0,1,1465.0,Pachuca
169,23168.0,39.0,13.0,5,1,0,4037.0,Chilpancingo
170,25584.0,46.0,9.0,2,1,0,2831.0,Hermosillo
171,11253.0,36.0,10.0,5,1,0,3016.0,Chilpancingo
172,11355.0,61.0,15.0,2,1,1,2856.0,Pachuca
173,8751.0,46.0,15.0,3,0,1,1343.0,Pachuca
174,23287.0,39.0,8.0,6,0,0,8475.0,Aguascalientes
175,7096.0,26.0,13.0,5,1,0,2467.0,Tlaxcala
176,5605.0,29.0,16.0,3,0,1,1794.0,Colima
177,5076.0,34.0,12.0,2,1,1,928.0,Toluca
178,7628.0,25.0,16.0,2,1,0,2809.0,Querétaro
179,11922.0,36.0,17.0,7,0,1,3425.0,Morelia
180,8701.0,61.0,9.0,5,1,0,1532.0,Puebla
181,5596.0,65.0,15.0,3,1,0,1423.0,Colima
182,57758.0,43.0,12.0,6,1,1,12416.0,Morelia
183,21702.0,20.0,11.0,2,1,1,6556.0,Puebla
184,9800.0,39.0,9.0,2,1,1,1395.0,Campeche
185,6079.0,51.0,1.0,2,1,0,2424.0,Tlaxcala
186,15979.0,63.0,10.0,4,1,1,2802.0,La Paz
187,10693.0,63.0,12.0,5,1,0,3985.0,Tuxtla Gutiérrez
188,5807.0,39.0,16.0,5,0,0,1318.0,Puebla
189,10828.0,43.0,11.0,1,0,1,4072.0,Hermosillo
190,9157.0,40.0,7.0,2,1,1,1877.0,Villahermosa
191,9147.0,54.0,6.0,2,1,0,1179.0,Chihuahua
192,12403.0,50.0,4.0,2,1,0,927.0,Ciudad de México
193,7467.0,42.0,4.0,5,0,1,2099.0,Villahermosa
194,8923.0,42.0,13.0,2,0,1,1744.0,Chihuahua
195,7640.0,42.0,6.0,2,1,0,1411.0,Oaxaca
196,13528.0,38.0,14.0,4,1,0,541.0,Zacatecas
197,7161.0,44.0,18.0,4,1,0,1525.0,Campeche
198,3665.0,63.0,18.0,8,1,1,491.0,Colima
199,8941.0,47.0,19.0,1,1,1,1761.0,Morelia
200,2851.0,42.0,14.0,4,1,0,283.0,Guadalajara
201,20490.0,32.0,13.0,7,1,1,5575.0,Tlaxcala
202,16081.0,31.0,13.0,1,1,1,4454.0,Chihuahua
203,39627.0,20.0,11.0,5,1,0,4700.0,Campeche
204,21213.0,39.0,10.0,3,1,0,2980.0,Toluca
205,31417.0,56.0,8.0,5,1,1,4462.0,Cuernavaca
206,11038.0,31.0,13.0,2,1,0,3782.0,Puebla
207,3385.0,55.0,11.0,1,1,0,1148.0,Veracruz
208,18170.0,39.0,13.0,1,1,1,4368.0,Cancún
209,81263.0,46.0,16.0,4,1,1,23859.0,Villahermosa
210,3449.0,34.0,8.0,3,1,0,1275.0,Oaxaca
211,16431.0,29.0,8.0,5,1,0,3197.0,Tuxtla Gutiérrez
212,8374.0,60.0,8.0,1,1,0,1281.0,Mérida
213,26149.0,46.0,8.0,2,1,1,6636.0,Hermosillo
214,10602.0,39.0,15.0,6,1,0,3560.0,Cancún
215,3815.0,25.0,10.0,6,1,0,1455.0,Morelia
216,11063.0,39.0,10.0,2,1,0,3403.0,Reynosa
217,16056.0,48.0,11.0,2,1,0,5414.0,Cuernavaca
218,7599.0,38.0,12.0,4,0,0,2162.0,Tijuana
219,8243.0,47.0,12.0,4,1,0,1875.0,Cancún
220,14898.0,38.0,10.0,2,1,1,3829.0,Cuernavaca
221,30909.0,43.0,14.0,4,0,0,6734.0,Veracruz
222,14399.0,48.0,14.0,3,1,1,4801.0,Saltillo
223,13494.0,26.0,9.0,1,1,0,540.0,Ciudad de México
224,9649.0,44.0,7.0,2,1,1,3174.0,San Luis Potosí
225,11102.0,25.0,7.0,3,1,0,3641.0,Hermosillo
226,29995.0,35.0,10.0,3,0,1,10340.0,Tijuana
227,8990.0,46.0,14.0,4,1,0,2620.0,Morelia
228,23301.0,27.0,9.0,6,1,1,4776.0,Mérida
229,14797.0,39.0,1.0,7,1,1,2338.0,Toluca
230,13125.0,62.0,13.0,2,1,1,3293.0,La Paz
231,8428.0,53.0,7.0,1,1,0,1829.0,Chihuahua
232,11663.0,42.0,9.0,2,1,1,1228.0,Campeche
233,15914.0,25.0,18.0,1,1,0,4690.0,Saltillo
234,16088.0,53.0,8.0,7,1,0,3816.0,Aguascalientes
235,15558.0,48.0,6.0,6,1,1,2223.0,Reynosa
236,16266.0,24.0,8.0,3,1,1,3721.0,San Luis Potosí
237,11658.0,53.0,11.0,4,0,0,5135.0,Oaxaca
238,3498.0,47.0,13.0,7,1,0,717.0,Culiacán
239,9886.0,57.0,12.0,3,1,1,2238.0,Morelia
240,10129.0,33.0,5.0,4,1,1,2840.0,Culiacán
241,11549.0,38.0,15.0,4,0,0,1850.0,Tlaxcala
242,19841.0,57.0,9.0,5,0,0,3855.0,La Paz
243,6601.0,26.0,8.0,4,0,0,1877.0,Oaxaca
244,10431.0,28.0,11.0,1,1,0,2683.0,Tijuana
245,46092.0,56.0,10.0,3,0,1,5004.0,Tlaxcala
246,9152.0,41.0,8.0,3,0,0,2638.0,Ciudad de México
247,9492.0,31.0,16.0,3,0,0,1190.0,Veracruz
248,18685.0,43.0,13.0,5,1,1,3325.0,Colima
249,34449.0,74.0,12.0,5,1,0,5746.0,Tlaxcala
250,3717.0,44.0,18.0,2,1,0,720.0,Tuxtla Gutiérrez
251,8072.0,48.0,14.0,3,1,0,2024.0,Durango
252,7373.0,44.0,13.0,4,1,0,1401.0,Colima
253,12361.0,44.0,9.0,4,1,1,2595.0,Hermosillo
254,10005.0,54.0,10.0,1,1,1,2097.0,Chihuahua
255,9932.0,50.0,13.0,3,1,1,3257.0,Tuxtla Gutiérrez
256,14074.0,28.0,15.0,1,1,1,3235.0,Monterrey
257,13965.0,48.0,10.0,4,1,0,2597.0,Guadalajara
258,22636.0,36.0,5.0,4,1,0,2120.0,Toluca
259,28279.0,39.0,11.0,4,1,1,3515.0,Guadalajara
260,13084.0,29.0,6.0,3,0,0,3839.0,Durango
261,17854.0,43.0,10.0,3,1,0,4099.0,San Luis Potosí
262,24640.0,25.0,19.0,3,1,0,2769.0,Campeche
263,14062.0,46.0,14.0,6,1,1,3401.0,Querétaro
264,18650.0,31.0,6.0,7,1,1,5655.0,Tuxtla Gutiérrez
265,7721.0,54.0,14.0,6,1,0,392.0,Hermosillo
266,11680.0,38.0,9.0,1,1,0,1294.0,Puebla
267,14618.0,50.0,20.0,4,1,0,3838.0,Veracruz
268,31351.0,49.0,15.0,4,1,1,5900.0,Ciudad de México
269,12660.0,43.0,13.0,5,1,0,5414.0,Reynosa
270,3656.0,40.0,17.0,6,1,0,625.0,Monterrey
271,7761.0,38.0,11.0,5,1,0,2849.0,León
272,5343.0,43.0,12.0,3,0,1,1140.0,Veracruz
273,11803.0,30.0,8.0,1,0,0,891.0,Campeche
274,9186.0,45.0,12.0,5,1,0,1877.0,Chihuahua
275,18735.0,34.0,15.0,7,1,1,3700.0,San Luis Potosí
276,25023.0,41.0,11.0,1,0,0,8390.0,Tijuana
277,12291.0,58.0,12.0,4,1,0,3372.0,Durango
278,31116.0,37.0,13.0,1,1,1,8090.0,Tlaxcala
279,25037.0,48.0,3.0,1,1,0,7373.0,Chilpancingo
280,16537.0,43.0,14.0,2,1,0,2598.0,Ciudad de México
281,34801.0,32.0,13.0,4,1,0,8898.0,Culiacán
282,5549.0,45.0,7.0,2,1,0,1002.0,Oaxaca
283,5774.0,38.0,7.0,1,1,0,1896.0,Durango
284,10268.0,60.0,12.0,2,1,1,1839.0,León
285,10104.0,31.0,16.0,4,0,0,2190.0,Guadalajara
286,20718.0,26.0,6.0,2,1,0,7648.0,San Luis Potosí
287,23835.0,50.0,10.0,2,1,1,8805.0,Monterrey
288,15421.0,44.0,6.0,5,1,1,3866.0,Guadalajara
289,20931.0,32.0,13.0,3,1,0,4880.0,Durango
290,9735.0,54.0,9.0,4,1,1,1215.0,Zacatecas
291,13256.0,20.0,10.0,2,1,1,2622.0,Chilpancingo
292,11371.0,52.0,13.0,7,1,0,4262.0,Oaxaca
293,17873.0,34.0,10.0,7,0,0,5578.0,Cancún
294,8603.0,41.0,15.0,6,1,1,2374.0,Hermosillo
295,13502.0,36.0,11.0,4,1,0,3010.0,Aguascalientes
296,24209.0,47.0,8.0,8,1,0,9438.0,Ciudad de México
297,10045.0,44.0,9.0,4,1,1,767.0,Tlaxcala
298,12941.0,43.0,7.0,5,1,0,1795.0,Pachuca
299,12562.0,23.0,8.0,4,0,1,2412.0,Campeche
300,7647.0,20.0,9.0,5,1,1,2022.0,Villahermosa
301,22296.0,55.0,11.0,3,1,1,3558.0,Monterrey
302,4256.0,43.0,14.0,2,1,1,749.0,La Paz
303,11047.0,37.0,9.0,5,1,0,3378.0,Saltillo
304,17761.0,36.0,10.0,2,1,1,5796.0,Ciudad de México
305,10642.0,62.0,20.0,6,1,1,3320.0,Colima
306,15595.0,46.0,12.0,4,1,0,4075.0,Campeche
307,6822.0,26.0,10.0,10,1,0,1889.0,Morelia
308,13323.0,22.0,10.0,3,1,0,3985.0,San Luis Potosí
