entidad,lat,lng,precio_m2,plusvalia_pct,yield_pct,dias_en_mercado,ciclo,valor_mediano_vivienda,ingreso_hogar_mensual,escolaridad_anios,densidad_hab_km2,poblacion_miles,empleo_formal_pct,credito_hipotecario_pc
Aguascalientes,21.882,-102.291,11500,11.7,6.7,41,Expansión fuerte,1223582,9200.0,8.5,30.4,1345.0,29.6,1.01
Campeche,19.845,-90.523,17200,7.5,5.4,64,Madurez,1314572,12400.0,10.2,581.8,1728.0,44.0,2.42
Cancún,21.161,-86.851,17400,13.4,5.9,32,Expansión fuerte,1320135,14300.0,10.6,221.9,1559.0,43.7,2.39
Chihuahua,28.632,-106.069,14500,10.2,7.6,56,Expansión fuerte,1344000,11300.0,9.8,175.9,1911.0,39.8,1.99
Chilpancingo,17.551,-99.505,15100,8.1,4.4,74,Expansión,1220758,12000.0,8.9,149.0,2140.0,36.6,2.65
Ciudad de México,19.432,-99.133,40500,5.1,7.3,58,Saturación,3368586,49200.0,13.6,2889.7,2230.0,70.5,5.03
Colima,19.243,-103.725,11500,8.4,8.3,50,Expansión,1144000,7400.0,8.6,144.3,1870.0,30.4,2.09
Cuernavaca,18.924,-99.221,20100,9.1,7.7,55,Expansión,1676582,15400.0,10.8,1310.6,2249.0,47.2,2.94
Culiacán,24.809,-107.394,14200,10.7,5.9,48,Expansión fuerte,1367488,10900.0,9.3,158.4,1203.0,33.5,2.21
Durango,24.028,-104.668,8300,4.9,7.0,52,Recuperación,851141,5700.0,6.8,15.7,1343.0,28.1,0.2
Guadalajara,20.667,-103.347,13400,12.5,6.8,42,Expansión fuerte,1280000,9800.0,9.3,115.8,1746.0,39.8,2.17
Hermosillo,29.073,-110.956,12500,9.8,5.7,53,Expansión,1175180,8000.0,8.7,70.6,1147.0,35.2,1.21
La Paz,24.142,-110.311,25600,11.1,7.4,36,Expansión fuerte,1897875,25700.0,12.5,1145.7,1863.0,54.2,3.81
León,21.122,-101.682,12500,8.2,6.4,44,Expansión,1280461,9000.0,8.7,54.7,1881.0,35.5,1.36
Monterrey,25.686,-100.316,12700,9.3,5.7,38,Expansión,1231013,8700.0,9.1,44.1,1290.0,32.8,2.16
Morelia,19.706,-101.195,11600,10.9,5.5,60,Expansión fuerte,1193083,7200.0,8.4,55.3,1967.0,29.0,1.27
Mérida,20.967,-89.623,19200,10.7,5.1,35,Expansión fuerte,1700882,15300.0,10.6,167.1,1068.0,49.2,2.86
Oaxaca,17.073,-96.726,17600,7.1,6.7,67,Madurez,1502375,10900.0,10.0,168.3,1599.0,38.7,3.44
Pachuca,20.101,-98.759,13900,9.6,5.5,58,Expansión,1221035,8900.0,9.4,49.7,1762.0,42.1,1.86
Puebla,19.041,-98.206,17200,9.2,7.1,49,Expansión,1470000,12900.0,10.7,234.9,1679.0,38.1,2.0
Querétaro,20.588,-100.389,20000,6.6,7.2,40,Madurez,1883235,18800.0,10.9,323.4,1243.0,50.1,2.69
Reynosa,26.051,-98.288,9600,11.3,6.1,54,Expansión fuerte,845569,6600.0,7.6,24.1,1313.0,24.4,1.58
Saltillo,25.423,-101.005,10500,8.4,9.6,57,Expansión,1097000,6200.0,8.3,57.2,1813.0,26.0,1.19
San Luis Potosí,22.15,-100.976,13900,7.5,6.1,45,Madurez,1357117,11100.0,9.8,186.8,1363.0,38.5,1.26
Tepic,21.504,-104.894,16300,11.8,6.3,55,Expansión fuerte,1529503,12600.0,10.4,86.2,1134.0,38.3,2.19
Tijuana,32.514,-117.038,17600,11.0,6.3,46,Expansión fuerte,1605873,15200.0,10.5,153.5,3567.0,46.1,2.48
Tlaxcala,19.318,-98.237,9300,5.0,6.7,62,Recuperación,896944,5800.0,8.0,34.3,2540.0,19.5,1.19
Toluca,19.283,-99.656,15200,5.2,6.8,52,Madurez,1390900,10000.0,9.6,235.2,1851.0,43.8,2.49
Tuxtla Gutiérrez,16.753,-93.116,15800,8.4,4.6,72,Expansión,1229650,10500.0,10.3,144.1,1991.0,41.3,2.33
Veracruz,19.173,-96.134,13100,7.1,5.1,63,Madurez,1050000,9000.0,9.1,96.5,1584.0,32.1,1.71
Villahermosa,17.989,-92.928,13200,5.9,8.2,68,Madurez,1112450,9500.0,9.3,124.5,1358.0,34.9,1.88
Zacatecas,22.77,-102.583,9000,5.8,5.6,66,Madurez,1012765,6000.0,8.2,18.1,2596.0,26.9,0.57
