fecha,trimestre,pib_indice,inflacion_anual,tasa_objetivo,tipo_cambio,desempleo,consumo_indice,inversion_indice
2005-01-01,2005Q1,100.55,4.42,4.76,11.122,3.76,96.69,103.22
2005-04-01,2005Q2,102.28,3.8,4.12,10.432,3.7,97.34,100.48
2005-07-01,2005Q3,103.9,5.45,5.6,10.618,3.26,101.01,104.42
2005-10-01,2005Q4,104.97,4.76,5.26,10.779,3.3,98.49,108.91
2006-01-01,2006Q1,105.7,5.81,5.37,10.53,3.36,98.5,107.23
2006-04-01,2006Q2,106.39,4.44,4.63,10.624,3.47,102.13,110.48
2006-07-01,2006Q3,106.48,4.94,5.06,11.104,3.56,101.83,110.8
2006-10-01,2006Q4,106.49,4.79,5.17,11.281,3.83,101.71,105.61
2007-01-01,2007Q1,106.77,4.91,5.13,11.343,3.69,100.91,110.14
2007-04-01,2007Q2,107.56,3.97,4.75,11.229,3.47,100.97,113.2
2007-07-01,2007Q3,108.56,4.72,4.84,11.839,3.64,101.98,114.95
2007-10-01,2007Q4,109.33,4.83,4.76,11.76,3.28,103.39,110.49
2008-01-01,2008Q1,110.35,4.67,4.85,11.528,3.74,103.59,114.27
2008-04-01,2008Q2,110.98,5.6,5.3,11.355,3.19,101.17,117.09
2008-07-01,2008Q3,111.32,4.64,4.56,11.308,3.03,106.02,112.91
2008-10-01,2008Q4,110.81,5.5,5.05,11.386,3.63,103.96,114.52
2009-01-01,2009Q1,109.86,3.31,4.08,11.794,3.74,103.54,117.84
2009-04-01,2009Q2,108.61,2.63,3.41,12.058,4.28,100.15,109.9
2009-07-01,2009Q3,107.18,3.6,4.21,12.182,4.23,100.22,118.91
2009-10-01,2009Q4,106.38,3.17,4.08,12.488,4.59,102.19,104.14
2010-01-01,2010Q1,106.77,1.71,3.31,12.627,5.03,102.11,112.04
2010-04-01,2010Q2,107.38,2.42,3.23,12.446,4.59,99.8,115.2
2010-07-01,2010Q3,108.29,3.1,3.44,12.274,4.59,101.31,118.4
2010-10-01,2010Q4,109.42,2.71,3.63,12.415,4.5,102.09,114.09
2011-01-01,2011Q1,110.42,2.88,3.4,12.683,4.96,103.17,112.06
2011-04-01,2011Q2,111.19,4.16,4.93,12.724,4.13,104.51,111.45
2011-07-01,2011Q3,111.55,3.56,4.66,12.668,4.21,105.3,119.45
2011-10-01,2011Q4,111.93,2.0,3.0,13.122,4.82,105.83,117.76
2012-01-01,2012Q1,111.98,2.8,3.59,12.808,4.74,104.33,117.41
2012-04-01,2012Q2,112.36,2.66,3.18,13.063,4.49,106.97,118.43
2012-07-01,2012Q3,112.92,2.27,3.13,13.308,4.87,105.33,115.53
2012-10-01,2012Q4,114.21,2.69,3.87,13.535,4.93,106.83,118.93
2013-01-01,2013Q1,115.73,3.67,4.52,13.688,4.48,108.77,124.57
2013-04-01,2013Q2,117.59,3.84,4.37,13.593,4.21,107.7,117.7
2013-07-01,2013Q3,119.82,4.43,4.97,13.759,4.0,109.79,128.45
2013-10-01,2013Q4,121.6,4.49,4.6,13.26,3.69,110.84,136.33
2014-01-01,2014Q1,122.68,4.27,4.17,13.844,3.72,113.96,134.08
2014-04-01,2014Q2,123.72,4.38,4.73,13.877,3.59,113.21,132.03
2014-07-01,2014Q3,124.51,5.17,5.11,13.875,4.25,113.76,134.74
2014-10-01,2014Q4,124.71,4.3,4.53,13.822,3.76,115.89,138.43
2015-01-01,2015Q1,125.51,5.78,5.14,14.249,3.76,113.41,134.26
2015-04-01,2015Q2,125.94,4.56,4.94,14.314,3.47,114.84,133.27
2015-07-01,2015Q3,126.68,4.83,5.12,13.907,3.97,115.18,133.98
2015-10-01,2015Q4,127.39,4.82,4.82,14.263,3.62,114.76,135.2
2016-01-01,2016Q1,128.15,5.89,5.2,13.953,3.9,115.92,140.98
2016-04-01,2016Q2,129.06,5.92,5.28,14.169,3.21,115.86,144.18
2016-07-01,2016Q3,130.1,4.88,5.11,14.175,3.59,117.28,139.5
2016-10-01,2016Q4,130.65,5.69,5.04,14.116,3.4,118.41,145.35
2017-01-01,2017Q1,130.66,5.83,5.15,13.627,3.84,118.39,144.08
2017-04-01,2017Q2,130.2,5.14,5.35,13.695,3.31,116.91,135.62
2017-07-01,2017Q3,129.32,4.16,4.53,14.024,4.22,116.26,132.13
2017-10-01,2017Q4,129.14,3.27,4.0,13.887,4.67,118.7,143.81
2018-01-01,2018Q1,129.22,3.1,3.65,13.937,4.68,116.63,139.53
2018-04-01,2018Q2,129.58,3.62,4.04,14.019,4.68,117.16,137.75
2018-07-01,2018Q3,130.53,2.46,3.42,14.352,4.35,120.25,144.15
2018-10-01,2018Q4,130.9,3.2,4.0,14.403,4.64,119.25,137.45
2019-01-01,2019Q1,131.58,3.75,4.29,14.899,4.48,118.81,146.1
2019-04-01,2019Q2,132.6,3.47,4.07,14.789,4.71,118.59,138.46
2019-07-01,2019Q3,133.3,3.77,3.78,14.807,4.59,118.89,148.38
2019-10-01,2019Q4,133.61,2.67,3.38,14.821,4.57,120.07,149.65
2020-01-01,2020Q1,134.08,1.75,3.04,15.263,4.78,120.45,149.86
2020-04-01,2020Q2,132.19,1.81,3.21,15.261,5.0,118.75,141.56
2020-07-01,2020Q3,131.55,1.44,3.23,15.184,4.86,120.38,132.85
2020-10-01,2020Q4,132.37,2.17,3.48,15.013,5.05,120.72,148.96
2021-01-01,2021Q1,134.07,2.13,3.13,15.62,4.59,119.23,152.92
2021-04-01,2021Q2,135.83,3.11,3.49,15.531,4.63,122.65,143.44
2021-07-01,2021Q3,137.94,3.86,4.18,15.474,4.45,121.39,146.62
2021-10-01,2021Q4,140.38,3.81,4.44,15.287,4.13,123.52,154.5
2022-01-01,2022Q1,142.26,6.96,6.33,15.174,4.19,126.06,156.04
