entidad,anio,pib_per_capita,inversion_pc,credito_pc,empleo_formal_pct,salario_real
Aguascalientes,2010,72109.1,16563.3,23487.1,28.86,285.31
Aguascalientes,2011,72973.2,14751.7,23026.1,29.23,279.49
Aguascalientes,2012,77990.8,17417.6,20888.8,30.71,289.77
Aguascalientes,2013,78354.7,16759.4,29430.7,28.58,285.5
Aguascalientes,2014,78173.4,13264.9,18895.9,30.93,296.87
Aguascalientes,2015,84038.9,12841.3,33226.9,30.07,316.79
Aguascalientes,2016,84466.1,12495.3,21494.7,31.97,309.57
Aguascalientes,2017,86015.4,17816.8,22198.9,34.03,312.43
Aguascalientes,2018,88199.5,12774.5,21454.3,33.57,338.39
Aguascalientes,2019,89252.6,16428.8,16711.9,33.8,334.53
Aguascalientes,2020,79401.0,12075.5,18861.2,34.07,315.06
Aguascalientes,2021,96965.9,25893.5,29837.0,33.5,341.97
Aguascalientes,2022,89791.1,17329.4,34562.9,31.84,346.52
Aguascalientes,2023,98786.4,20681.9,34790.8,33.56,350.44
Aguascalientes,2024,99710.6,16677.8,28171.5,36.74,364.87
Campeche,2010,122472.8,24071.8,46004.7,43.15,335.98
Campeche,2011,137525.5,23407.5,35694.8,44.44,362.47
Campeche,2012,130272.0,30234.5,38830.9,43.76,357.1
Campeche,2013,127248.4,25400.4,64771.2,45.94,351.34
Campeche,2014,138670.9,32883.4,34452.6,45.51,380.36
Campeche,2015,135592.8,33133.2,33497.2,44.74,382.51
Campeche,2016,155886.7,27403.5,45054.4,45.18,410.23
Campeche,2017,140168.0,20882.7,55842.9,46.64,391.69
Campeche,2018,148964.1,27780.8,50994.0,46.63,398.13
Campeche,2019,145546.2,21822.2,62086.9,47.75,406.38
Campeche,2020,133652.2,24419.4,47218.0,47.76,390.4
Campeche,2021,157446.3,29422.6,58677.4,50.1,426.17
Campeche,2022,168237.3,33786.8,47633.8,49.35,442.09
Campeche,2023,164099.6,40515.3,47569.3,48.72,435.63
Campeche,2024,166856.6,26560.9,40201.8,50.98,444.72
Cancún,2010,166133.5,39734.0,59463.6,42.68,385.39
Cancún,2011,177620.7,26605.2,62757.3,42.76,403.38
Cancún,2012,179248.0,45210.4,67179.7,42.3,393.61
Cancún,2013,175949.4,38425.7,38599.3,47.04,403.09
Cancún,2014,187437.2,41509.7,49866.6,44.93,421.48
Cancún,2015,182594.5,32316.6,61475.7,44.84,428.21
Cancún,2016,198833.8,31606.8,68320.2,46.71,439.66
Cancún,2017,196139.0,33076.9,50717.4,48.29,453.39
Cancún,2018,206091.0,42073.8,69690.0,47.36,456.49
Cancún,2019,198360.0,42431.1,53477.7,47.12,456.31
Cancún,2020,195016.2,31003.3,63538.7,47.19,455.77
Cancún,2021,229203.2,36263.8,73503.4,48.27,497.92
Cancún,2022,201968.3,43140.3,65320.7,49.75,467.55
Cancún,2023,220431.9,33650.1,74084.8,51.28,477.7
Cancún,2024,207978.2,41790.4,43079.7,49.71,484.87
Chihuahua,2010,102068.7,21199.1,38276.0,40.58,306.97
Chihuahua,2011,100928.8,21556.0,38516.8,40.52,322.29
Chihuahua,2012,100621.0,16868.2,21707.8,41.5,331.36
Chihuahua,2013,107570.8,25151.8,28055.1,40.93,347.41
Chihuahua,2014,107816.2,18782.1,41911.4,41.15,343.09
Chihuahua,2015,108971.6,18901.9,26629.6,42.67,339.12
Chihuahua,2016,105689.5,14527.3,26830.3,44.33,345.88
Chihuahua,2017,111585.3,32588.1,33446.8,41.65,358.52
Chihuahua,2018,113074.1,28746.6,35850.1,42.63,355.49
Chihuahua,2019,121438.8,23810.2,42316.9,43.12,376.03
Chihuahua,2020,112750.7,22823.8,28240.4,44.72,371.41
Chihuahua,2021,132964.0,23511.8,40818.9,44.16,398.59
Chihuahua,2022,127803.9,23779.7,33658.6,44.57,396.65
Chihuahua,2023,129811.7,25354.8,42604.9,46.15,396.44
Chihuahua,2024,123760.6,23410.8,49558.4,45.16,395.68
Chilpancingo,2010,132423.0,25747.3,41228.4,39.28,348.36
Chilpancingo,2011,139278.5,22077.3,41079.4,37.92,360.0
Chilpancingo,2012,152180.2,29525.1,53612.2,37.88,377.74
Chilpancingo,2013,142401.2,25561.6,35679.1,38.85,372.08
Chilpancingo,2014,147920.7,32624.2,63277.1,36.92,389.09
Chilpancingo,2015,147704.6,27076.4,46094.9,38.67,379.15
Chilpancingo,2016,166100.7,38320.6,64099.2,40.51,398.63
Chilpancingo,2017,157009.4,35874.2,48711.6,40.86,406.25
Chilpancingo,2018,161696.7,28997.3,51965.5,38.65,411.71
Chilpancingo,2019,159784.3,31800.9,48982.8,39.36,414.2
Chilpancingo,2020,155301.5,22075.0,66717.9,39.49,413.56
Chilpancingo,2021,177948.8,39025.9,40295.5,41.28,444.19
Chilpancingo,2022,171326.4,44102.2,43939.6,40.48,445.49
Chilpancingo,2023,175349.1,34409.0,72029.2,42.93,453.31
Chilpancingo,2024,198289.8,32238.8,53339.3,41.49,484.13
Ciudad de México,2010,706417.6,137715.6,329370.3,69.43,680.27
Ciudad de México,2011,691869.4,117624.7,138092.0,71.23,687.12
Ciudad de México,2012,734382.6,104659.4,197755.2,70.32,713.97
Ciudad de México,2013,756319.2,138299.2,180317.0,72.12,722.6
Ciudad de México,2014,733075.0,157492.0,205964.6,73.86,735.98
Ciudad de México,2015,739530.0,150431.1,169597.8,73.2,742.34
Ciudad de México,2016,756624.8,142007.8,183633.9,73.04,744.17
Ciudad de México,2017,780420.3,167930.6,252421.5,75.06,769.58
Ciudad de México,2018,778552.4,153531.4,208192.8,73.4,783.8
Ciudad de México,2019,840283.9,152344.4,216727.3,73.13,815.38
Ciudad de México,2020,777164.6,163342.6,221076.3,75.32,790.55
Ciudad de México,2021,894740.8,198222.9,290698.3,77.03,842.17
Ciudad de México,2022,936910.5,185291.1,373392.3,73.48,878.32
Ciudad de México,2023,913725.3,193782.4,172876.6,76.25,868.49
Ciudad de México,2024,905936.5,171945.9,318491.6,77.07,884.66
Colima,2010,67680.4,11752.3,19275.6,32.33,256.72
Colima,2011,63681.8,12060.5,15669.8,33.81,257.47
Colima,2012,66448.3,13719.4,16121.1,29.88,266.25
Colima,2013,69360.7,14301.7,21955.5,32.29,278.43
Colima,2014,69536.8,14783.4,18438.7,31.51,283.63
Colima,2015,71610.5,12436.3,30834.3,33.96,278.47
Colima,2016,70507.4,11388.2,31477.0,34.19,295.88
Colima,2017,68850.7,10828.0,18987.5,33.46,295.54
Colima,2018,74912.7,14556.9,35766.2,33.91,305.47
Colima,2019,82847.9,13888.1,29626.1,35.25,323.48
Colima,2020,72993.2,10215.1,14493.2,33.9,298.23
