sector,Agropecuario,Mineria,Energia,Manufactura alimentos,Manufactura metalica,Manufactura otras,Construccion,Comercio,Transporte,Informacion y medios,Servicios financieros,Servicios diversos,demanda_final,produccion_total,empleo_miles,remuneraciones
Agropecuario,85101.6,64277.4,7179.0,29305.0,14553.7,34661.0,57382.2,35210.8,33211.5,23026.8,8662.9,18293.5,640534.5,1051400.0,1500.6,358369.7
Mineria,28578.2,185687.6,14029.9,4198.6,13273.4,46637.0,71133.0,23011.0,34543.6,16608.5,3849.3,25204.7,1228737.3,1695492.0,1806.56,453972.6
Energia,36816.9,61204.7,100568.3,30078.3,72194.7,53403.7,51763.3,33540.7,32056.3,5372.1,5474.2,23938.1,472768.8,979180.0,583.33,323992.2
Manufactura alimentos,137032.6,53421.9,24469.3,91494.3,53030.5,42616.2,80296.1,38988.7,28550.5,31159.4,1938.4,5017.0,230918.3,818933.0,1081.85,332933.7
Manufactura metalica,26200.9,147985.5,23178.2,18898.3,180527.1,26466.8,30918.6,19609.5,38120.3,12727.5,5577.6,14564.7,1136959.0,1681734.0,1296.11,615699.2
Manufactura otras,38656.6,52743.3,14777.9,9065.5,56030.2,156279.3,12336.6,34035.3,14741.9,31911.6,3538.5,13562.3,763454.0,1201133.0,741.77,237014.6
Construccion,19906.1,30847.0,8426.1,10415.8,17232.6,13520.2,209251.6,33679.5,36281.4,11026.4,5859.9,21293.9,1258733.6,1676474.0,1054.89,657604.8
Comercio,7441.3,58852.3,36857.1,18639.3,78050.7,23541.0,21476.8,131681.2,31438.1,30987.9,6812.5,32218.8,527637.0,1005634.0,771.54,375988.7
Transporte,13440.1,59090.2,19226.4,18119.3,92272.2,18786.0,24839.6,19496.5,106364.3,23012.9,2140.8,16849.4,505217.3,918855.0,524.71,259445.8
Informacion y medios,8620.9,44695.4,36338.6,26187.9,58515.2,27890.0,48270.7,47227.3,14823.4,102620.2,5921.9,9519.8,254218.6,684850.0,1465.07,150959.2
Servicios financieros,11436.4,9170.8,37134.6,18472.7,25318.5,55049.2,63617.0,46579.3,10045.4,16371.4,19950.6,31214.3,-116985.2,227375.0,190.22,73881.2
Servicios diversos,43892.4,65467.3,25433.4,16724.9,49528.6,24449.3,59850.2,9278.8,10002.6,26955.1,11153.3,51998.3,198886.8,593621.0,1189.19,128858.8
