cp,n_estab,empleo,resiliencia,indicadoras
00000,4,12,-0.0,0
00142,1,8,-0.0,0
00630,1,20,-0.0,0
00738,1,20,-0.0,0
00755,1,8,-0.0,0
01000,1053,14595,0.824,0
01001,3,98,0.792,0
01010,292,10996,0.836,0
01020,617,15164,0.773,0
01022,1,3,-0.0,0
01029,2,95,-0.0,0
01030,307,9032,0.808,0
01037,1,20,-0.0,0
01040,116,3275,0.815,0
01048,1,3,-0.0,0
01049,42,2023,0.874,0
01050,103,3900,0.741,0
01060,90,1985,0.858,0
01070,134,2857,0.761,0
01080,567,4053,0.906,0
01081,1,8,-0.0,0
01082,1,20,-0.0,0
01084,6,18,0.73,0
01089,89,452,0.845,0
01090,596,13946,0.836,0
01100,42,610,0.767,0
01109,57,198,0.733,0
01110,223,1840,0.848,0
01120,647,4700,0.578,0
01121,2,23,-0.0,0
01130,591,3530,0.855,0
01131,1,75,-0.0,0
01132,2,95,0.5,0
01139,11,33,0.639,0
01140,576,4768,0.865,0
01141,2,95,0.5,0
01145,1,20,-0.0,0
01148,8,24,0.531,0
01150,324,2716,0.9,0
01151,6,781,0.626,0
01152,12,455,0.459,0
01154,5,146,0.761,0
01155,7,166,0.689,0
01156,10,422,0.743,0
01159,1,20,-0.0,0
01160,445,6413,0.826,0
01165,5,37,0.361,0
01170,32,389,0.873,0
01180,276,7229,0.927,0
01183,1,20,-0.0,0
01190,1,3,-0.0,0
01191,5,251,0.361,0
01200,99,356,0.883,0
01209,8,196,0.272,0
01210,844,31575,0.864,0
01211,1,20,-0.0,0
01212,1,20,-0.0,0
01216,1,20,-0.0,0
01219,251,12545,0.851,0
01220,197,2048,0.889,0
01223,1,20,-0.0,0
01225,2,403,-0.0,0
01230,179,704,0.761,0
01239,3,9,0.459,0
01240,1,40,-0.0,0
01250,111,483,0.771,0
01259,22,71,0.644,0
01260,449,1554,0.825,0
01261,1,8,-0.0,0
01268,6,18,0.626,0
01269,27,81,0.647,0
01270,368,1244,0.793,0
01275,23,140,0.745,0
01278,94,321,0.658,0
01279,193,667,0.714,0
01280,363,3015,0.842,0
01285,6,23,0.459,0
01289,65,229,0.817,0
01290,633,3216,0.866,0
01296,532,1899,0.793,0
01297,1,3,-0.0,0
01298,260,861,0.779,0
01299,1,3,-0.0,0
01300,20,97,0.496,0
01304,1,8,-0.0,0
01307,1,3,-0.0,0
01310,7,117,0.778,0
01320,66,381,0.861,0
01321,2,6,0.5,0
01329,5,15,0.685,0
01330,80,2506,0.775,0
01340,70,293,0.923,0
01354,1,3,-0.0,0
01357,1,3,-0.0,0
01359,1,8,-0.0,0
01370,1,40,-0.0,0
01376,166,8219,0.856,0
01377,281,1257,0.766,0
01379,1,20,-0.0,0
01388,1,8,-0.0,0
01389,4,431,0.75,0
01400,603,2763,0.852,0
01401,2,95,0.5,0
01404,1,3,-0.0,0
01405,1,3,-0.0,0
01408,550,2050,0.747,0
01410,296,1036,0.735,0
01414,1,20,-0.0,0
01419,129,1060,0.826,0
01420,193,987,0.85,0
01426,1,75,-0.0,0
01430,132,1179,0.774,0
01435,2,23,-0.0,0
01437,3,428,0.459,0
01438,1,3,-0.0,0
01439,1,3,-0.0,0
01440,2,23,0.5,0
01442,1,20,-0.0,0
01450,48,332,0.798,0
01460,314,3179,0.931,0
01470,537,3704,0.851,0
01480,74,1024,0.742,0
01490,46,303,0.917,0
01500,332,2206,0.857,0
01501,65,478,0.91,0
01509,6,40,0.325,0
01510,219,981,0.805,0
01520,41,478,0.874,0
01525,1,175,-0.0,0
01529,1,3,-0.0,0
01530,331,1368,0.808,0
01538,33,119,0.864,0
01539,22,66,0.622,0
01540,303,1030,0.81,0
01543,1,3,-0.0,0
01548,77,241,0.836,0
01549,13,39,0.57,0
01550,56,305,0.645,0
01551,1,20,-0.0,0
01552,1,20,-0.0,0
01553,13,760,0.787,0
01560,81,368,0.84,0
01561,1,3,-0.0,0
01566,24,72,0.767,0
01569,92,342,0.82,0
01570,1,8,-0.0,0
01580,18,126,0.939,0
01585,2,23,-0.0,0
01588,10,47,0.361,0
01590,1,8,-0.0,0
01600,617,5797,0.901,0
01609,1,75,-0.0,0
01610,51,341,0.785,0
01618,18,275,0.748,0
01619,77,280,0.783,0
01620,83,1087,0.833,0
01630,59,427,0.838,0
01640,154,633,0.824,0
01645,23,69,0.835,0
01650,325,1105,0.777,0
01680,10,89,0.648,0
01690,26,88,0.724,0
01700,197,1093,0.86,0
01708,25,164,0.747,0
01710,441,5459,0.817,0
01720,8,85,0.477,0
01729,53,723,0.875,0
01730,285,1405,0.801,0
01740,188,1776,0.811,0
01750,67,289,0.781,0
01759,215,2354,0.849,0
01760,69,1193,0.842,0
01770,58,1003,0.821,0
01780,291,4854,0.876,0
01789,5,181,0.485,0
01790,150,1193,0.813,0
01798,1,175,-0.0,0
01800,831,3683,0.777,0
01810,27,280,0.78,0
01820,21,262,0.682,0
01830,674,2932,0.821,0
01840,620,3022,0.858,0
01849,17,68,0.852,0
01850,8,24,0.272,0
01856,50,167,0.637,0
01857,206,781,0.685,0
01858,1,3,-0.0,0
01859,129,419,0.706,0
01860,580,2565,0.794,0
01863,26,95,0.685,0
01864,1,3,-0.0,0
01870,72,233,0.702,0
01880,20,87,0.729,0
01900,713,20965,0.805,0
01904,1,20,-0.0,0
01930,1,3,-0.0,0
01940,1,8,-0.0,0
01984,1,3,-0.0,0
01990,2,11,-0.0,0
02000,1023,6859,0.778,0
02008,3,820,-0.0,0
02010,297,2318,0.863,0
02011,1,20,-0.0,0
02018,7,68,0.921,0
02020,363,6924,0.921,1
02030,2,23,-0.0,0
02040,144,1699,0.887,0
02050,238,1286,0.894,0
02060,334,2499,0.863,0
02070,391,3653,0.889,0
02080,754,7475,0.864,1
02085,1,75,-0.0,0
02090,205,1324,0.933,1
02099,153,1075,0.934,0
02100,870,6381,0.837,0
02109,3,31,0.459,0
02110,40,713,0.839,0
02111,2,6,0.5,0
02119,9,27,0.493,0
02120,467,6028,0.856,0
02125,10,47,0.68,0
02127,3,9,-0.0,0
02128,26,137,0.977,0
02129,53,176,0.9,0
02130,223,1021,0.848,0
02140,113,788,0.896,0
02150,342,1453,0.878,0
02160,76,1010,0.859,0
02170,5,32,0.685,0
02200,281,2356,0.899,0
02201,1,20,-0.0,0
02210,3,9,-0.0,0
02216,1,3,-0.0,0
02230,494,5581,0.713,0
02240,509,2391,0.82,0
02248,9,71,0.696,0
02250,139,1583,0.802,0
02255,1,3,-0.0,0
02260,1,3,-0.0,0
02270,10,35,0.948,0
02288,1,20,-0.0,0
02300,988,41882,0.874,0
02310,54,275,0.76,0
02320,29,272,0.91,0
02330,4,190,0.75,0
02340,143,2072,0.652,0
02350,20,151,0.841,0
02360,70,1802,0.896,0
02368,1,20,-0.0,0
02400,245,2130,0.873,0
02402,1,3,-0.0,0
02410,105,972,0.83,0
02419,22,71,0.593,0
02420,110,1769,0.851,0
02430,206,1763,0.858,0
02431,1,3,-0.0,0
02440,475,3428,0.875,0
02450,199,1320,0.781,0
02454,3,9,0.459,0
02459,307,1517,0.826,0
02460,231,1087,0.886,0
02466,1,175,-0.0,0
02470,40,548,0.857,0
02480,123,1487,0.875,0
02490,49,693,0.899,0
02500,56,493,0.861,0
02510,5,221,0.361,0
02519,63,1340,0.864,0
02520,29,609,0.776,0
02526,1,175,-0.0,0
02530,112,830,0.828,0
02540,1,3,-0.0,0
02550,1,8,-0.0,0
02560,1,3,-0.0,0
02600,1103,4254,0.832,0
02601,1,20,-0.0,0
02610,11,322,0.747,0
02616,1,175,-0.0,0
02620,1,3,-0.0,0
02623,30,228,0.91,0
02630,90,2176,0.861,0
02638,3,9,0.459,0
02640,80,245,0.825,0
02650,102,925,0.907,0
02660,100,653,0.934,0
02670,99,686,0.844,0
02680,107,412,0.814,0
02700,249,3381,0.883,0
02709,1,3,-0.0,0
02710,217,1682,0.878,0
02719,784,3658,0.867,0
02720,217,1073,0.845,0
02729,12,107,0.663,0
02730,150,1677,0.942,0
02745,26,244,0.624,0
02750,326,2021,0.842,0
02760,234,5584,0.861,0
02770,87,1592,0.771,0
02780,103,412,0.856,0
02790,159,1019,0.897,0
02800,759,4865,0.854,0
02810,266,1149,0.822,0
02820,29,363,0.764,0
02830,19,420,0.89,0
02831,9,76,0.876,0
02840,283,1588,0.875,0
02850,25,160,0.749,0
02860,259,1867,0.901,0
02870,149,3844,0.961,0
02900,121,535,0.87,0
02910,115,509,0.827,0
02916,5,15,0.361,0
02920,82,910,0.834,0
02930,93,850,0.949,0
02940,173,1097,0.845,0
02950,169,1552,0.911,0
02960,78,661,0.839,0
02970,62,2882,0.914,0
02980,333,2646,0.845,0
02990,183,2634,0.87,0
03000,251,4550,0.81,0
03001,1,75,-0.0,0
03010,46,1130,0.831,0
03020,2157,25572,0.869,0
03023,890,5680,0.884,0
03028,12,36,0.776,0
03072,1,3,-0.0,0
03080,6,18,0.896,0
03100,2869,61541,0.81,0
03102,10,52,0.5,0
03103,1016,10615,0.845,0
03104,535,5051,0.756,0
03110,2,23,-0.0,0
03120,2,28,0.5,0
03130,78,905,0.85,0
03140,2,475,-0.0,0
03180,1,20,-0.0,0
03200,661,11730,0.75,0
03210,2,40,-0.0,0
03219,1,400,-0.0,0
03220,5,92,0.761,0
03230,266,5260,0.837,0
03240,72,2534,0.863,0
