cvegeo,estado,municipio,n_estab,empleo,comercio,servicios,industria,alimentos,resiliencia,altas_recientes,indicadoras
01001,Aguascalientes,Aguascalientes,51973,361735,20603,18555,4806,8009,0.897,1028,4
01002,Aguascalientes,Asientos,1467,6760,617,471,118,261,0.894,12,0
01003,Aguascalientes,Calvillo,2528,12928,1130,740,283,375,0.9,28,0
01004,Aguascalientes,Cosío,576,3863,270,153,49,104,0.884,8,0
01005,Aguascalientes,Jesús María,5958,58532,2467,1686,920,885,0.933,149,0
01006,Aguascalientes,Pabellón de Arteaga,2367,12007,1048,701,181,437,0.887,35,0
01007,Aguascalientes,Rincón de Romos,2827,14191,1338,799,242,448,0.875,22,0
01008,Aguascalientes,San José de Gracia,587,2783,250,145,69,123,0.929,5,0
01009,Aguascalientes,Tepezalá,750,3727,319,209,63,159,0.906,9,0
01010,Aguascalientes,El Llano,595,3535,275,144,62,114,0.903,6,0
01011,Aguascalientes,San Francisco de los Romo,2243,25421,981,611,265,386,0.917,38,0
02001,Baja California,Ensenada,19238,149034,7473,7875,1450,2440,0.858,356,1
02002,Baja California,Mexicali,38385,351170,13855,16786,2981,4763,0.856,909,5
02003,Baja California,Tecate,4705,51095,1722,1868,502,613,0.894,111,0
02004,Baja California,Tijuana,65253,640711,25667,27365,4683,7538,0.844,1614,4
02005,Baja California,Playas de Rosarito,6112,41347,2216,2324,508,1064,0.899,121,0
02006,Baja California,San Quintín,4294,24306,1841,1590,356,507,0.858,81,0
02007,Baja California,San Felipe                                                                  ,1221,8724,427,447,112,235,0.917,31,0
03001,Baja California Sur,Comondú,4292,27743,1523,1465,768,536,0.939,155,0
03002,Baja California Sur,Mulegé,3070,22808,1150,1063,462,395,0.926,155,0
03003,Baja California Sur,La Paz,15773,121852,5054,6634,1718,2367,0.905,510,0
03008,Baja California Sur,Los Cabos,18309,158890,6871,6918,1599,2921,0.895,647,1
03009,Baja California Sur,Loreto,1133,8782,372,423,136,202,0.934,40,0
04001,Campeche,Calkiní,2909,12884,864,742,970,333,0.955,29,0
